date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:15	111/111	---M-Z	200	added ('OK')	text/plain	date:Fri,%2019%20Feb%202021%2021:49:18%20GMT	https://lalisavedra.com/robots.txt		(from )
18:49:16	88617/88617	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Feb%202021%2021:49:19%20GMT	https://lalisavedra.com/	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/index.html	(from )
18:49:17	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2019%20Feb%202021%2021:49:21%20GMT	https://lalisavedra.com/xmlrpc.php	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/xmlrpc.php	(from https://lalisavedra.com/)
18:49:17	51433/51433	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Feb%202021%2000:55:47%20GMT	https://lalisavedra.com/lalisavedra.com/wp-includes/css/dist/block-library/style.min.css?ver=5.6.1	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-includes/css/dist/block-library/style.mind96d.css	(from https://lalisavedra.com/)
18:49:17	59010/59010	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Feb%202021%2000:55:47%20GMT	https://lalisavedra.com/lalisavedra.com/wp-includes/css/dashicons.min.css?ver=5.6.1	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-includes/css/dashicons.mind96d.css	(from https://lalisavedra.com/)
18:49:17	3728/3728	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jul%202017%2000:46:04%20GMT	https://lalisavedra.com/lalisavedra.com/wp-content/plugins/my-calendar/css/reset.css?ver=5.6.1	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-content/plugins/my-calendar/css/resetd96d.css	(from https://lalisavedra.com/)
18:49:17	8870/8870	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jul%202017%2000:46:05%20GMT	https://lalisavedra.com/lalisavedra.com/wp-content/plugins/my-calendar/styles/twentyfifteen.css?ver=5.6.1	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-content/plugins/my-calendar/styles/twentyfifteend96d.css	(from https://lalisavedra.com/)
18:49:18	60142/60142	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Feb%202017%2019:36:39%20GMT	https://lalisavedra.com/lalisavedra.com/wp-content/themes/savedra/style.css?ver=5.6.1	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-content/themes/savedra/styled96d.css	(from https://lalisavedra.com/)
18:49:18	33233/33233	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202017%2023:45:01%20GMT	https://lalisavedra.com/lalisavedra.com/wp-content/themes/savedra/fontawesome/css/font-awesome.css?ver=4.2.1	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-content/themes/savedra/fontawesome/css/font-awesome50fa.css	(from https://lalisavedra.com/)
18:49:18	7789/7789	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202017%2023:45:01%20GMT	https://lalisavedra.com/lalisavedra.com/wp-content/themes/savedra/js/magnific-popup/magnific-popup.css?ver=20150310	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-content/themes/savedra/js/magnific-popup/magnific-popupbac1.css	(from https://lalisavedra.com/)
18:49:18	1424/1424	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Jul%202017%2000:41:59%20GMT	https://lalisavedra.com/lalisavedra.com/wp-content/plugins/add-to-any/addtoany.min.css?ver=1.14	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-content/plugins/add-to-any/addtoany.mind50e.css	(from https://lalisavedra.com/)
18:49:19	89496/89496	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2019%20Feb%202021%2000:55:48%20GMT	https://lalisavedra.com/lalisavedra.com/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-includes/js/jquery/jquery.min9d52.js	(from https://lalisavedra.com/)
18:49:19	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2019%20Feb%202021%2000:55:48%20GMT	https://lalisavedra.com/lalisavedra.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://lalisavedra.com/)
18:49:19	11532/11532	---M-Z	200	added ('OK')	application/rss+xml	date:Fri,%2013%20Mar%202020%2023:31:10%20GMT	https://lalisavedra.com/feed/	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/feed/index.html	(from https://lalisavedra.com/)
18:49:19	135/135	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2012%20Jul%202017%2000:41:59%20GMT	https://lalisavedra.com/lalisavedra.com/wp-content/plugins/add-to-any/addtoany.min.js?ver=1.0	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-content/plugins/add-to-any/addtoany.min5152.js	(from https://lalisavedra.com/)
18:49:19	1122/1122	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Feb%202017%2023:45:01%20GMT	https://lalisavedra.com/lalisavedra.com/wp-content/themes/savedra/js/colormag-custom.js?ver=5.6.1	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-content/themes/savedra/js/colormag-customd96d.js	(from https://lalisavedra.com/)
18:49:20	804/804	---M-Z	200	added ('OK')	text/xml	date:Fri,%2019%20Feb%202021%2021:49:24%20GMT	https://lalisavedra.com/xmlrpc.php?rsd	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/xmlrpc0db0.php	(from https://lalisavedra.com/)
18:49:20	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Mon,%2006%20Feb%202017%2022:02:06%20GMT	https://lalisavedra.com/lalisavedra.com/wp-includes/wlwmanifest.xml	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-includes/wlwmanifest.xml	(from https://lalisavedra.com/)
18:49:20	99348/99348	---M-Z	200	added ('OK')	application/json	date:Fri,%2019%20Feb%202021%2021:49:25%20GMT	https://lalisavedra.com/lalisavedra.com/wp-json/	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-json/index.html	(from https://lalisavedra.com/)
18:49:21	83655/83655	---MCZ	200	added ('OK')	application/javascript	etag:W/%22146c7-5b1318fce2e58%22	https://static.addtoany.com/menu/page.js	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/static.addtoany.com/menu/page.js	(from https://lalisavedra.com/)
18:49:21	908/908	---M-Z	200	added ('OK')	image/png	date:Sat,%2022%20Apr%202017%2015:32:31%20GMT	https://lalisavedra.com/lalisavedra.com/wp-content/uploads/2017/04/cropped-web_hi_res_512-4-32x32.png	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-content/uploads/2017/04/cropped-web_hi_res_512-4-32x32.png	(from https://lalisavedra.com/)
18:49:21	2876/2876	---M-Z	200	added ('OK')	image/png	date:Sat,%2022%20Apr%202017%2015:32:31%20GMT	https://lalisavedra.com/lalisavedra.com/wp-content/uploads/2017/04/cropped-web_hi_res_512-4-192x192.png	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-content/uploads/2017/04/cropped-web_hi_res_512-4-192x192.png	(from https://lalisavedra.com/)
18:49:21	2708/2708	---M-Z	200	added ('OK')	image/png	date:Sat,%2022%20Apr%202017%2015:32:31%20GMT	https://lalisavedra.com/lalisavedra.com/wp-content/uploads/2017/04/cropped-web_hi_res_512-4-180x180.png	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-content/uploads/2017/04/cropped-web_hi_res_512-4-180x180.png	(from https://lalisavedra.com/)
18:49:23	29641/29641	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Feb%202021%2021:49:27%20GMT	https://lalisavedra.com/biografia/	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/biografia/index.html	(from https://lalisavedra.com/)
18:49:24	29109/29109	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Feb%202021%2021:49:27%20GMT	https://lalisavedra.com/contato/	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/contato/index.html	(from https://lalisavedra.com/)
18:49:26	32493/32493	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Feb%202021%2021:49:29%20GMT	https://lalisavedra.com/escala/	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/escala/index.html	(from https://lalisavedra.com/)
18:49:29	88828/88828	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Feb%202021%2021:49:31%20GMT	https://lalisavedra.com/category/esportes/	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/category/esportes/index.html	(from https://lalisavedra.com/)
18:49:38	93657/93657	---MCZ	200	added ('OK')	image/jpeg	date:Sun,%2023%20Sep%202018%2021:29:21%20GMT	https://lalisavedra.com/lalisavedra.com/wp-content/uploads/2018/09/bota-jocolzinho.jpg	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/wp-content/uploads/2018/09/bota-jocolzinho.jpg	(from https://lalisavedra.com/)
18:49:40	88812/88812	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Feb%202021%2021:49:43%20GMT	https://lalisavedra.com/category/jocol/	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/category/jocol/index.html	(from https://lalisavedra.com/)
18:49:43	140017/140017	---MC-	200	added ('OK')	text/javascript	date:Fri,%2019%20Feb%202021%2021:49:27%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://lalisavedra.com/)
18:49:45	37816/37816	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Feb%202021%2021:49:48%20GMT	https://lalisavedra.com/figueirinha-asslbotafogo-verona-e-juvenil-bloco-2-classificados-para-as-semifinais-do-jocolzinho/	H:/site-lalisavedra-com/static/htt/lalisavedra-com-static/lalisavedra.com/figueirinha-asslbotafogo-verona-e-juvenil-bloco-2-classificados-para-as-semifinais-do-jocolzinho/index.html	(from https://lalisavedra.com/)
